time,kg,elapsedTime
2023-05-23 21:39:39.938326,0.0,0.12
2023-05-23 21:39:40.017846,0.0,0.2
2023-05-23 21:39:40.127364,0.0,0.31
2023-05-23 21:39:40.267402,0.0,0.45
2023-05-23 21:39:40.392921,0.0,0.58
2023-05-23 21:39:40.518440,0.0,0.7
2023-05-23 21:39:40.644960,0.0,0.83
2023-05-23 21:39:40.769998,0.0,0.95
2023-05-23 21:39:40.897513,0.0,1.08
2023-05-23 21:39:41.009031,0.0,1.19
2023-05-23 21:39:41.140548,0.0,1.32
2023-05-23 21:39:41.261075,0.0,1.44
2023-05-23 21:39:41.388103,0.1,1.57
2023-05-23 21:39:41.517617,1.2,1.7
2023-05-23 21:39:41.641136,2.0,1.82
2023-05-23 21:39:41.769173,1.8,1.95
2023-05-23 21:39:41.897690,0.6,2.08
2023-05-23 21:39:42.019212,0.1,2.2
2023-05-23 21:39:42.146728,0.6,2.33
2023-05-23 21:39:42.277769,1.8,2.46
2023-05-23 21:39:42.384289,0.5,2.57
2023-05-23 21:39:42.511809,0.1,2.69
2023-05-23 21:39:42.620326,0.1,2.8
2023-05-23 21:39:42.698844,0.2,2.88
2023-05-23 21:39:42.825361,0.8,3.01
2023-05-23 21:39:42.952625,0.5,3.14
2023-05-23 21:39:43.079655,0.5,3.26
2023-05-23 21:39:43.203170,0.3,3.39
2023-05-23 21:39:43.331685,0.6,3.51
2023-05-23 21:39:43.458208,0.6,3.64
2023-05-23 21:39:43.570244,0.3,3.75
2023-05-23 21:39:43.701754,0.4,3.88
2023-05-23 21:39:43.824272,0.5,4.01
2023-05-23 21:39:43.952799,0.6,4.14
2023-05-23 21:39:44.082832,0.3,4.27
2023-05-23 21:39:44.205230,0.6,4.39
2023-05-23 21:39:44.333749,0.1,4.52
2023-05-23 21:39:44.464775,0.1,4.65
2023-05-23 21:39:44.572300,0.1,4.76
2023-05-23 21:39:44.697817,0.1,4.88
2023-05-23 21:39:44.824335,0.1,5.01
2023-05-23 21:39:44.949854,0.1,5.13
2023-05-23 21:39:45.075891,0.1,5.26
2023-05-23 21:39:45.187411,0.1,5.37
2023-05-23 21:39:45.318928,0.1,5.5
2023-05-23 21:39:45.440445,0.0,5.62
2023-05-23 21:39:45.517963,0.1,5.7
2023-05-23 21:39:45.643482,0.0,5.83
2023-05-23 21:39:45.769518,0.0,5.95
2023-05-23 21:39:45.896035,0.4,6.08
2023-05-23 21:39:46.021558,0.6,6.2
2023-05-23 21:39:46.131073,0.2,6.31
2023-05-23 21:39:46.260595,0.4,6.44
2023-05-23 21:39:46.384629,0.5,6.57
2023-05-23 21:39:46.511145,0.7,6.69
2023-05-23 21:39:46.641663,0.3,6.82
2023-05-23 21:39:46.761186,0.4,6.94
2023-05-23 21:39:46.888215,1.0,7.07
2023-05-23 21:39:47.016734,0.8,7.2
2023-05-23 21:39:47.137252,1.3,7.32
2023-05-23 21:39:47.263778,0.7,7.45
2023-05-23 21:39:47.392808,1.8,7.58
2023-05-23 21:39:47.514323,0.1,7.7
2023-05-23 21:39:47.640844,0.1,7.82
2023-05-23 21:39:47.770882,0.1,7.95
2023-05-23 21:39:47.893400,0.1,8.08
2023-05-23 21:39:48.018920,0.1,8.2
2023-05-23 21:39:48.147435,0.1,8.33
2023-05-23 21:39:48.268479,0.1,8.45
2023-05-23 21:39:48.377998,0.1,8.56
2023-05-23 21:39:48.457003,0.1,8.64
2023-05-23 21:39:48.580039,0.1,8.76
2023-05-23 21:39:48.711555,0.5,8.89
2023-05-23 21:39:48.819073,1.3,9.0
2023-05-23 21:39:48.943588,0.3,9.13
2023-05-23 21:39:49.071625,1.0,9.25
2023-05-23 21:39:49.197144,0.8,9.38
2023-05-23 21:39:49.324660,0.1,9.51
2023-05-23 21:39:49.450180,0.4,9.63
2023-05-23 21:39:49.573214,0.3,9.76
2023-05-23 21:39:49.700731,0.1,9.88
2023-05-23 21:39:49.827250,0.8,10.01
2023-05-23 21:39:49.953775,0.1,10.14
2023-05-23 21:39:50.079805,0.1,10.26
2023-05-23 21:39:50.206296,0.8,10.39
2023-05-23 21:39:50.332813,0.1,10.52
2023-05-23 21:39:50.460337,0.1,10.64
2023-05-23 21:39:50.570370,0.1,10.75
2023-05-23 21:39:50.700887,0.1,10.88
2023-05-23 21:39:50.823408,0.1,11.01
2023-05-23 21:39:50.948926,0.1,11.13
2023-05-23 21:39:51.076960,0.1,11.26
2023-05-23 21:39:51.182478,0.1,11.37
2023-05-23 21:39:52.400702,0.1,12.58
2023-05-23 21:39:52.521220,0.1,12.7
2023-05-23 21:39:52.647740,0.1,12.83
